Sentence #,Word,Tag
Sentence: 1,the,o
Sentence: 1,temple,e-1-b
Sentence: 1,is,o
Sentence: 1,set,r-b
Sentence: 1,on,r-i
Sentence: 1,fire.,e-2-b
Sentence: 2,Actors,e-1-b
Sentence: 2,play,r-b
Sentence: 2,many,o
Sentence: 2,roles.,e-2-b
Sentence: 3,People,e-1-b
Sentence: 3,are,o
Sentence: 3,waiting,r-b
Sentence: 3,for,o
Sentence: 3,sequal,e-2-b
Sentence: 3,.,o
Sentence: 4,Sam,e-1-b
Sentence: 4,completed,r-b
Sentence: 4,College,e-2-b
Sentence: 5,Obama,e-1-b
Sentence: 5,is,o
Sentence: 5,the,o
Sentence: 5,president,r-b
Sentence: 5,of,r-i
Sentence: 5,US,e-2-b
Sentence: 6,Akhil,e-1-b
Sentence: 6,lives,r-b
Sentence: 6,in,r-i
Sentence: 6,a,o
Sentence: 6,basement,e-2-b
Sentence: 7,rotagonist,e-1-b
Sentence: 7,Forgives,r-b
Sentence: 7,his,o
Sentence: 7,enemy,e-2-b
Sentence: 7,.,o
Sentence: 8,Villian,e-1-b
Sentence: 8,still,o
Sentence: 8,wears,r-b
Sentence: 8,the,o
Sentence: 8,eye-patch,e-2-b
Sentence: 9,Emma,e-1-b
Sentence: 9,is,o
Sentence: 9,writing,r-b
Sentence: 9,a,o
Sentence: 9,letter,e-2-b
Sentence: 10,players,e-1-b
Sentence: 10,triumphed,r-b
Sentence: 10,in,o
Sentence: 10,jumaji,e-2-b
Sentence: 11,Wife,e-1-b
Sentence: 11,jumped,r-b
Sentence: 11,to,o
Sentence: 11,conclusions.,e-2-b
Sentence: 12,the,o
Sentence: 12,series,e-1-b
Sentence: 12,airs,r-b
Sentence: 12,in,o
Sentence: 12,july.,e-2-b
Sentence: 13,Brother,e-1-b
Sentence: 13,was,o
Sentence: 13,passionate,r-b
Sentence: 13,about,r-i
Sentence: 13,"writing,",e-2-b
Sentence: 14,Finally,e-1-b
Sentence: 14,sisters,e-1-b
Sentence: 14,made,r-b
Sentence: 14,peace,e-2-b
Sentence: 14,.,o
Sentence: 15,Jessy,e-1-b
Sentence: 15,bought,r-b
Sentence: 15,the,o
Sentence: 15,house,e-2-b
Sentence: 16,.,o
Sentence: 17,Jessica,e-1-b
Sentence: 17,is,r-b
Sentence: 17,the,o
Sentence: 17,owner.,e-2-b
Sentence: 18,Walter,e-1-b
Sentence: 18,deserves,r-b
Sentence: 18,those,o
Sentence: 18,scars.,e-2-b
Sentence: 19,holden,e-1-b
Sentence: 19,died,r-b
Sentence: 19,in,o
Sentence: 19,1981,e-2-b
Sentence: 19,.,o
Sentence: 20,Sony,e-1-b
Sentence: 20,Made,r-b
Sentence: 20,a,o
Sentence: 20,deal,e-2-b
Sentence: 21,Indian,e-1-b
Sentence: 21,were,o
Sentence: 21,airlifted,r-b
Sentence: 21,from,r-i
Sentence: 21,Kuwait,e-2-b
Sentence: 21,.,o
Sentence: 22,morris,e-1-b
Sentence: 22,praised,r-b
Sentence: 22,x-men,e-2-b
Sentence: 23,zombie,e-1-b
Sentence: 23,released,r-b
Sentence: 23,the,o
Sentence: 23,album,e-2-b
Sentence: 24,we'll,e-1-b
Sentence: 24,stick,r-b
Sentence: 24,to,o
Sentence: 24,the,o
Sentence: 24,plan.,e-2-b
Sentence: 25,The,o
Sentence: 25,fire,e-1-b
Sentence: 25,burned,r-b
Sentence: 25,the,o
Sentence: 25,wire,e-2-b
Sentence: 26,France,e-1-b
Sentence: 26,is,r-b
Sentence: 26,a,o
Sentence: 26,country,e-2-b
Sentence: 27,A,o
Sentence: 27,Developer,e-1-b
Sentence: 27,Builds,r-b
Sentence: 27,Websites,e-2-b
Sentence: 28,nothing,e-1-b
Sentence: 28,can,o
Sentence: 28,stop,r-b
Sentence: 28,this.,e-2-b
Sentence: 29,NDTV,e-1-b
Sentence: 29,rated,r-b
Sentence: 29,it,e-2-b
Sentence: 30,Canada,e-1-b
Sentence: 30,won,r-b
Sentence: 30,the,o
Sentence: 30,champhionship,e-2-b
Sentence: 30,He,e-1-b
Sentence: 31,was,o
Sentence: 31,influenced,r-b
Sentence: 31,by,o
Sentence: 31,Budhdha,e-2-b
Sentence: 31,.,o
Sentence: 32,it,e-1-b
Sentence: 32,was,o
Sentence: 32,just,o
Sentence: 32,out,r-b
Sentence: 32,of,r-i
Sentence: 32,sync.,e-2-b
